Movie Name,Script File,Budget,Domestic Gross,Worldwide Gross
Beasts of the Southern Wild,Beasts-of-the-Southern-Wild_Screenplay.txt,"$1,800,000","$12,795,746","$23,265,132"
I Spit on Your Grave,I-Spit-on-Your-Grave_Screenplay.txt,"$1,750,000","$93,051","$1,278,471"
In the Bedroom,In-the-Bedroom_Screenplay.txt,"$1,700,000","$35,930,604","$42,137,871"
From Here to Eternity,From-Here-to-Eternity_Screenplay.txt,"$1,650,000","$30,500,000","$30,500,000"
Insidious,Insidious_Screenplay.txt,"$1,500,000","$54,009,150","$99,870,886"
Kids,Kids_Screenplay.txt,"$1,500,000","$7,412,216","$20,412,216"
Repo Man,Repo-Man_Screenplay.txt,"$1,500,000","$2,300,000","$2,300,728"
Blood Simple,Blood-Simple_Screenplay.txt,"$1,500,000","$1,690,913","$2,730,877"
Killing Zoe,Killing-Zoe_Screenplay.txt,"$1,500,000","$418,953","$418,953"
"Lock, Stock and Two Smoking Barrels","Lock,-Stock-and-Two-Smoking-Barrels_Screenplay.txt","$1,350,000","$3,897,569","$28,356,188"
Dear White People,Dear-White-People_Screenplay.txt,"$1,250,000","$4,404,154","$5,403,771"
Saw,Saw_Screenplay.txt,"$1,200,000","$55,968,727","$103,880,027"
"Sex, Lies, and Videotape","Sex,-Lies-and-Videotape_Screenplay.txt","$1,200,000","$24,741,667","$36,741,667"
You Can Count on Me,You-Can-Count-On-Me_Screenplay.txt,"$1,200,000","$9,180,275","$10,827,356"
Strangers on a Train,Strangers-on-a-Train_Screenplay.txt,"$1,200,000","$7,000,000","$7,022,725"
Reservoir Dogs,Reservoir-Dogs_Screenplay.txt,"$1,200,000","$2,832,029","$2,990,680"
Grand Theft Parsons,Grand-Theft-Parsons_Screenplay.txt,"$1,200,000",$0,$0
Rocky,Rocky_Screenplay.txt,"$1,000,000","$117,235,147","$225,000,000"
Hellraiser,Hellraiser_Screenplay.txt,"$1,000,000","$14,564,000","$14,575,148"
Blue Valentine,Blue-Valentine_Screenplay.txt,"$1,000,000","$9,737,892","$16,566,240"
Martha Marcy May Marlene,Martha-Marcy-May-Marlene_Screenplay.txt,"$1,000,000","$2,981,038","$5,438,911"
Frozen River,Frozen-River_Screenplay.txt,"$1,000,000","$2,511,476","$6,030,129"
Jimmy and Judy,Jimmy-and-Judy_Screenplay.txt,"$1,000,000",$0,$0
Fruitvale Station,Fruitvale-Station_Screenplay.txt,"$900,000","$16,098,998","$17,549,645"
American Graffiti,American-Graffiti_Screenplay.txt,"$777,000","$115,557,835","$140,557,835"
Brick,Brick_Screenplay.txt,"$450,000","$2,075,743","$4,243,996"
Napoleon Dynamite,Napoleon-Dynamite_Screenplay.txt,"$400,000","$44,540,956","$46,122,713"
It Happened One Night,It-Happened-One-Night_Screenplay.txt,"$325,000","$2,500,000","$2,500,503"
Chasing Amy,Chasing-Amy_Screenplay.txt,"$250,000","$12,006,514","$15,155,095"
Cube,Cube_Screenplay.txt,"$250,000","$489,220","$8,969,065"
Swingers,Swingers_Screenplay.txt,"$200,000","$4,505,922","$6,618,578"
Pi,Pi_Screenplay.txt,"$68,000","$3,221,152","$4,678,513"
Clerks,Clerks_Screenplay.txt,"$27,000","$3,073,428","$3,894,240"
El Mariachi,El-Mariachi_Screenplay.txt,"$7,000","$2,040,920","$2,041,928"
