Movie Name,Script File,Budget,Domestic Gross,Worldwide Gross
Surrogates,Surrogates_Screenplay.txt,"$80,000,000","$38,577,772","$119,668,350"
Thirteen Days,Thirteen-Days_Screenplay.txt,"$80,000,000","$34,566,746","$66,554,547"
Nine,Nine_Screenplay.txt,"$80,000,000","$19,676,965","$56,984,219"
Red Planet,Red-Planet_Screenplay.txt,"$80,000,000","$17,480,890","$33,463,969"
Despicable Me 2,Despicable-Me-2_Screenplay.txt,"$76,000,000","$368,065,385","$975,216,835"
Independence Day,Independence-Day_Screenplay.txt,"$75,000,000","$306,169,255","$817,400,878"
Wanted,Wanted_Screenplay.txt,"$75,000,000","$134,508,551","$342,416,460"
Constantine,Constantine_Screenplay.txt,"$75,000,000","$75,976,178","$221,593,554"
Spanglish,Spanglish_Screenplay.txt,"$75,000,000","$42,044,321","$54,344,321"
Hostage,Hostage_Screenplay.txt,"$75,000,000","$34,636,443","$77,636,443"
Soldier,Soldier_Screenplay.txt,"$75,000,000","$14,623,082","$14,623,082"
Monkeybone,Monkeybone_Screenplay.txt,"$75,000,000","$5,409,517","$5,409,517"
Unbreakable,Unbreakable_Screenplay.txt,"$73,243,106","$94,999,143","$248,099,143"
Sphere,Sphere_Screenplay.txt,"$73,000,000","$37,068,294","$50,168,294"
Funny People,Funny-People_Screenplay.txt,"$72,500,000","$51,855,045","$71,880,305"
Braveheart,Braveheart_Screenplay.txt,"$72,000,000","$75,545,647","$209,045,244"
Signs,Signs_Screenplay.txt,"$70,702,619","$227,969,295","$408,250,578"
Runaway Bride,Runaway-Bride_Screenplay.txt,"$70,000,000","$152,257,509","$310,138,178"
xXx,xXx_Screenplay.txt,"$70,000,000","$141,930,000","$267,200,000"
Inglourious Basterds,Inglourious-Basterds_Screenplay.txt,"$70,000,000","$120,774,594","$316,802,281"
Die Hard 2,Die-Hard-2_Screenplay.txt,"$70,000,000","$117,323,878","$239,813,888"
Sleepy Hollow,Sleepy-Hollow_Screenplay.txt,"$70,000,000","$101,068,340","$207,068,340"
Vanilla Sky,Vanilla-Sky_Screenplay.txt,"$70,000,000","$100,614,858","$202,726,605"
Battle: Los Angeles,Battle-Los-Angeles_Screenplay.txt,"$70,000,000","$83,552,429","$213,463,976"
War Horse,War-Horse_Screenplay.txt,"$70,000,000","$79,883,359","$156,815,529"
Big Fish,Big-Fish_Screenplay.txt,"$70,000,000","$66,432,867","$123,954,323"
Hard Rain,Hard-Rain_Screenplay.txt,"$70,000,000","$19,870,567","$19,870,567"
Next,Next_Screenplay.txt,"$70,000,000","$18,211,013","$73,591,500"
